SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Throw a ball overhand, then utilise a range of different implements (bat tennis bat, tennis racquet, lacrosse stick) to discuss 3rd class levers and the relationship between length of the lever, mechanical advantage and distance achieved",,,,24
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Hit a tennis ball as far as possible with a child's small plastic cricket bat and then repeat with a large adult wooden bat; record results and discuss the relationship between angular momentum, angular velocity and moment of inertia",,,,25
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Ask a friend to video you performing a skill with your non-dominant hand or foot, then undertake a qualitative analysis of the movement, including practise time, and then re-record a video in two weeks to show potential improvements and discuss why these may or may not have occurred",,,,26
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,Activity,Bullet,"Coach a junior sports team; determine the stages of learning of the members of the team; through correct application of both biomechanical and skill acquisition principles, develop the movement skills of the students in the team",,,,27
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExample,Paragraph,"IT'S A BIRD, IT'S A PLANE, IT'S A PROJECTILE! INVESTIGATING FACTORS AFFECTING PROJECTILE MOTION IN ATHLETICS",,,,28
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,Task,,,,29
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,"Participate in and digitally record various athletics events (shot put, discus, high jump, long jump). Use the video footage to perform a qualitative analysis of the height, angle and speed of release for each of the projectiles.",,,,30
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,Instructions,,,,31
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,Data collection,,,,32
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,"To ensure that all students work through each activity, divide the class into four groups and give each group a recording device (smart phone, tablet, digital camera, video camera).",,,,33
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,"Students participate in each of the four events, ensuring that at least one attempt in each event is recorded.",,,,34
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,"The recoding of distances thrown and/or jumped is not specifically required for the analysis; however, this data might provide further information for students to use in their evaluation.",,,,35
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,Analysis,,,,36
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,"Students should have access to their own footage so they can analyse their own performance. This analysis can be done with the assistance of an app or software such as Dartfish, Hudl Technique or Coaches eye, if available.",,,,37
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,"For each activity, students use annotated diagrams to:",,,,38
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Bullet,Determine and show on the diagram the height of release for each event,,,,39
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Bullet,Determine and show on the diagram the angle of release for each event,,,,40
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Bullet,"Track and draw on the diagram the flight path of the object (shot, discus, body)",,,,41
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KS,DetailedExampleStep,Bullet,Describe the speed of release for each of the four projectiles.,,,,42
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,Evaluation,,,,43
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,"From the data, students complete the following:",,,,44
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Bullet,"How does the angle of release differ between each event? Explain why, for optimal performance, the angle of release is different for each of the events performed.",,,,45
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KS,DetailedExampleStep,Bullet,Discuss how a coach could use the information from the analysis to improve the performance of young athletes in athletics.,,,,46
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Bullet,Explain the importance of a straight arm at release by applying the concept of third-class levers,,,,47
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KS,DetailedExampleStep,Bullet,"Describe how the principle of impulse, summation of momentum and Newton's second law of motion are applied to maximise release velocity. In the answer, make reference to the glide technique in shot put and the one and three-quarter turn discus throw technique.",,,,48
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Bullet,Explain how the height of release and the landing height affect the optimal angle of release.,,,,49
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KS,DetailedExampleStep,Bullet,Discuss the following statement: 'Release velocity is the most important determinant of flight distance of a projectile'.,,,,50
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,Conclusion,,,,51
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,"Students watch the video footage of their performance in each event again. From their analysis and evaluation, and based on the principles investigated, they provide written feedback on how the movement skill can be refined or improved.",,,,52
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,"For example: 'From the analysis of the long jump, it is evident that the angle of release was too great, resulting in excess vertical speed and not enough horizontal speed, therefore decreasing the overall distance jumped. To improve long jump performance, the angle of release must be much lower than 45 degrees.'",,,,53
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS1,Area of Study 1 - How are movement skills improved?,Outcome 1,VCEPEU3AS1O1KK,DetailedExampleStep,Paragraph,Area of Study 2: How does the body produce energy?,,,,54
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,,,OutcomeHeading,Outcome 2:,,,,1
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,,,OutcomeDescription,"On completion of this unit, the student should be able to use data collected in practical activities to analyse how the major body and energy systems work together to enable movements to occur; explain the factors causing fatigue; and recommend suitable recovery strategies.",,,,2
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,"Using a generic 'oxygen consumption during and after exercise' graph, draw new graphs for a 50m sprint, 400m run and 5km run; discuss the changes in the graph and why oxygen demand changes",,,,3
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,"Wear a heart rate monitor while participating in a continuous activity, such as running, swimming or cycling, for a minimum of 20 minutes; graph the heart rate data collected to analyse the changes in exercise intensity and heart rate; use this data to investigate changes in oxygen uptake from rest and during exercise and recovery, and the relative contribution from the energy systems",,,,4
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KS,Activity,Bullet,"Analyse and collect data on acute responses to exercise: after lying down for five minutes, record resting heart rate, respiratory rate, blood pressure (if available) and temperature; perform one minute of continuous star jumps and repeat each of the measurements and observe any muscular changes; rest for five minutes and then perform a wall sit (squat) for one minute; record heart rate, respiratory rate, blood pressure, temperature and muscular changes; refer to the three energy systems to explain why these changes occur",,,,5
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,Undertake a 100m sprint and an end-zone game (such as touch football) to compare the acute muscular responses to each activity and discuss which responses positively affected performance and which may have negatively affected performance,,,,6
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,Individually create a poster to show the characteristics of one of the fuels required for ATP production; students working on the same fuel source share what they have learnt and update their posters; these are the expert groups; create groups with one 'expert' on each of the fuel sources and share what they have learnt with the rest of the group; place the posters around the room for future reference,,,,7
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,Use lego/duplo/contruction blocks to demonstrate the breakdown of ATP to release energy and the resynthesis of ADP and Pi,,,,8
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,"Determine the food fuels contained in a number of different snack foods that students may consume before, during or after participation in physical activity",,,,9
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,"Participate in a number of short duration, high intensity activities that demonstrate the utilisation of the ATP-CP system such as a 20m sprint, a vertical jump test, burpees, box jumps, half-court basketball shot",,,,10
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,"Create a flow chart using SmartDraw, Prezi, MindManager, Mind42 or similar to depict the process of aerobic and anaerobic glycolysis",,,,11
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,"Collect heart rate data while participating in a continuous activity such as running, rowing or cycling for a minimum of 20 minutes with bursts of speed throughout to discuss the aerobic system and anaerobic glycolysis contributions",,,,12
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,Participate in an active recovery and a passive recovery post participation in the same selected exercise or sport; determine the most appropriate form of recovery based on energy system usage during the selected exercise or sport,,,,13
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,Perform a phosphate recovery test to investigate the fatigue/limiting factors of the anaerobic energy systems,,,,14
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,"Participate in a team sport; record data and information about the activity's duration and intensity, the rest periods and the types of movement skills performed; use the information collected and examples from the data to discuss energy system interplay",,,,15
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,"Watch a short video of participants during a 100m sprint, basketball game and an Ironman; explain each fatiguing factor(s) that may be impacting the participants and how this would impact their performance",,,,16
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,"Investigate nutritional strategies used by athletes to fuel performance during their activity, determine the perceived benefits of the strategy and the physiological response to ingestion of carbohydrate and protein after exercise",,,,17
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,Activity,Bullet,"Research hydration strategies used by tennis players during the Australian Open and describe how these might assist with performance, fatigue and recovery",,,,18
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExample,Paragraph,"BREATHE IN, BREATHE OUT, REPEAT! OXYGEN UPTAKE: AT REST, DURING PHYSICAL ACTIVITY AND DURING RECOVERY",,,,19
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,Task - laboratory activity,,,,20
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,"Students investigate changes in oxygen uptake from rest, and during exercise and recovery, and the relative contribution from the energy systems at each of these stages.",,,,21
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,Instructions,,,,22
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,Data collection,,,,23
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,"Students wear a heart rate monitor while participating in a continuous, sub-maximal activity such as running, swimming or cycling, for a minimum of 20 minutes.",,,,24
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,"Heart rate data is collected at one-minute intervals while at rest (5 minutes sitting), during the activity (20 minutes continuous) and during recovery (five minutes active recovery followed by five minutes passive recovery).",,,,25
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,Tabulate data or download the file from the device.,,,,26
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,"From five other people in your class, collect the time taken to reach steady state and the time taken for heart rate to return to resting levels.",,,,27
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,Analysis,,,,28
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KS,DetailedExampleStep,Paragraph,"Students analyse their own heart rate data, if available. If the student is unable to participate in the activity, data analysis can be performed using another student's data. To analyse the data, students:",,,,29
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Bullet,Graph heart rate versus time.,,,,30
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Bullet,"Shade the periods of rest, exercise and recovery.",,,,31
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Bullet,"Label periods of oxygen deficit, steady state and excess post-exercise oxygen consumption (EPOC).",,,,32
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Bullet,"Determine resting heart rate, steady state heart rate and the percentage of HR max at which this occurred.",,,,33
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,Evaluation,,,,34
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,"From the data, students complete the following:",,,,35
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KS,DetailedExampleStep,Bullet,Discuss the acute physiological responses to exercise.,,,,36
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KS,DetailedExampleStep,Bullet,"Identify periods of 'oxygen deficit', 'steady state' and 'EPOC'.",,,,37
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KS,DetailedExampleStep,Bullet,Compare the production of ATP during oxygen deficit and during steady state.,,,,38
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Bullet,Explain the role of the aerobic energy system during recovery.,,,,39
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Bullet,Explain the relationship between oxygen availability and relative contribution from each of the energy systems.,,,,40
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Bullet,Establish whether the time to reach steady state and for heart rate to return to resting levels differed between students. Suggest possible reasons for any differences between students.,,,,41
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,Conclusion,,,,42
Health and Physical Education,PE,,,Year 12,Unit 3,VCEPEU3AS2,Area of Study 2 - How does the body produce energy?,Outcome 2,VCEPEU3AS2O2KK,DetailedExampleStep,Paragraph,Students summarise and succinctly present the key findings of the investigation.,,,,43
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4,,,,,UnitHeading,Unit 4 Training to improve performance,,,,1
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4,,,,GeneralActivity,Paragraph,Area of Study 1: What are the foundations of an effective training program,,,,2
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,,,OutcomeDescription,"On completion of this unit, the student should be able to undertake an activity analysis to justify the physiological requirements of an activity that informs an appropriate assessment of fitness.",,,,2
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,Activity,Bullet,"As a class participate in a game of netball; three players (e.g. centre, goal shooter and wing defence) wear heart rate monitors; record the game using a video and/or digital device; conduct an activity analysis of the activity to collect data on movement patterns; in conjunction with the heart rate data, determine the work to rest ratio for each of the players",,,,3
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,Activity,Bullet,Undertake an activity analysis by using GPS units or observation of a game to determine movement patterns of a selected player/s in a game of soccer; analyse the data to determine the relative contributions of the energy systems,,,,4
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,Activity,Bullet,"Perform a data analysis on secondary skill frequency data collected from a sport played at the elite level (e.g. elite Australian rules football, tennis and cricket) to identify the required fitness components of the activity",,,,5
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,Activity,Bullet,"Make a series of flash cards that demonstrate an understanding of each of the fitness components; factors affecting, a suitable form of assessment and an image of an activity in which the fitness component is major",,,,6
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KS,Activity,Bullet,"Use a Venn diagram to compare muscular strength, muscular endurance and muscular power",,,,7
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,Activity,Bullet,Participate in a variety of physical activities that utilise a range of fitness components and discuss the common factors between each component,,,,8
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KS,Activity,Bullet,"Discuss the suitability of fitness testing for various populations, e.g. children and youth, club level and elite athletes and older adults; identify reasons why fitness might be assessed, e.g. health screening, elite athlete evaluation, talent identification",,,,9
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,Activity,Bullet,"Perform a series of fitness tests; determine relative levels of fitness in each of the fitness components; compare the results of the testing to standardised norms for the particular age and gender, to determine training program goals",,,,10
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,Activity,Bullet,"Create a how-to and how-not-to video for fitness testing to show the differences between informed and uninformed consent, accurate and inaccurate results, valid and invalid and reliable and unreliable results",,,,11
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,Activity,Bullet,"Participate in a game of soccer to determine and justify the major fitness components required; design, implement and perform a battery of fitness tests for these fitness components ensuring testing protocol and procedure is ethically sound, valid, accurate and reliable",,,,12
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,Activity,Bullet,"Visit a research facility that analyses fitness and experience the use of high technology and laboratory-based fitness testing equipment; compare the protocols, techniques and outcomes of the laboratory-based testing to the protocols, techniques and outcomes of field tests conducted at school",,,,13
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,DetailedExample,Paragraph,GAME ON! FITNESS REQUIREMENTS AT THE ELITE LEVEL,,,,14
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,DetailedExampleStep,Paragraph,Task - written report analysing data,,,,15
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KS,DetailedExampleStep,Paragraph,"Students access and analyse secondary data to determine fitness components required for the selected sport. The types of data will vary depending on the sport selected. Students may access only skill frequency data or a combination of movement patterns, skill frequencies, heart rates etc., depending on the availability of the data. The analysis can then be structured according to the information available.",,,,16
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,DetailedExampleStep,Paragraph,Instructions,,,,17
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KS,DetailedExampleStep,Paragraph,"Students access and analyse secondary data to determine fitness components required for the selected sport. The types of data will vary depending on the sport selected. Students may access only skill frequency data or a combination of movement patterns, skill frequencies, heart rates etc., depending on the availability of the data. The analysis can then be structured according to the information available.",,,,18
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,DetailedExampleStep,Paragraph,Data,,,,19
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,DetailedExampleStep,Paragraph,Example of secondary data:,,,,20
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,DetailedExampleStep,Paragraph,"Match statistics - Novak Djokovic Men's singles final, Australian Open 2016 Total match time, 2 hours and 53 minutes (6-1, 7-5, 7-6)",,,,21
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,DetailedExampleStep,Paragraph,Source: Australian Open,,,,22
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,DetailedExampleStep,Paragraph,Analysis,,,,23
Health and Physical Education,PE,,,Year 12,Unit 4,VCEPEU4AS1,Area of Study 1 - What are the foundations of an effective training program?,Outcome 1,VCEPEU4AS1O1KK,DetailedExampleStep,Bullet,Consider the muscles and muscle groups required to perform the key skills and movement patterns.,,,,24
